,rule_num,rule_text
0,D.1,GENERAL DYNAMIC
1,D.1.1,"Dynamic Events and Maximum Scores
Acceleration 100 points
Skid Pad 75 points
Autocross 125 points
Efficiency 100 points
Endurance 275 points
Total 675 points"
2,D.1.2,Definitions
3,D.1.2.1,"Dynamic Area – Any designated portion(s) of the competition site where the vehicles may
move under their own power. This includes competition, inspection and practice areas."
4,D.1.2.2,"Staging Area – Any area(s) inside the Dynamic Area prior to the entry to an event for the
purpose of gathering those vehicles that are about to start."
5,D.2,PIT AND PADDOCK
6,D.2.1,Vehicle Movement
7,D.2.1.1,"Outside of the Dynamic Area(s), vehicles must be pushed at a normal walking pace using the
Push Bar (VE.2.2), with a driver in the cockpit and with another team member walking beside"
8,D.2.1.2,"The team may move the vehicle with
a. All four wheels on the ground
b. The rear wheels supported on dollies, by push bar mounted wheels
The external wheels supporting the rear of the vehicle must be non pivoting so the
vehicle travels only where the front wheels are steered. The driver must always be able
to steer and brake the vehicle normally."
9,D.2.1.3,"When the Push Bar is attached, the engine must stay off, unless authorized by the officials"
10,D.2.1.4,Vehicles must be Shutdown when being moved around the paddock
11,D.2.1.5,"Vehicles with wings must have two team members, one walking on each side of the vehicle
when the vehicle is being pushed"
12,D.2.1.6,A 25 point penalty may be assessed for each violation
13,D.2.2,"Fueling and Charging
(IC only) Officials must conduct all fueling activities in the designated location.
(EV only) Accumulator charging must be done in the designated location EV.11.5"
14,D.2.3,"Powertrain Operation
In the paddock, (IC) Engines may be run or (EV) Tractive System may be Active if all three:
a. The vehicle has passed Technical Inspection up to and including the Tilt Test OR a
Technical Inspector gives permission
b. The vehicle is supported on a stand
c. The drive wheels are minimum 10 cm off the ground, OR the drive wheels are removed"
15,D.3,DRIVING
16,D.3.1,"Drivers Meetings – Attendance Required
All drivers for an event must attend the drivers meeting(s). The driver for an event will be
disqualified if he/she does not attend the driver meeting for the event."
17,D.3.2,"Dynamic Area Limitations
Refer to the Event Website for specific information"
18,D.3.2.1,"The organizer may specify restrictions for the Dynamic Area. These could include limiting the
number of team members and what may be brought into the area."
19,D.3.2.2,"The organizer may specify additional restrictions for the Staging Area. These could include
limiting the number of team members and what may be brought into the area."
20,D.3.2.3,"The organizer may establish requirements for persons in the Dynamic Area, such as closed toe
shoes or long pants."
21,D.3.3,Driving Under Power
22,D.3.3.1,"Vehicles must move under their own power only when inside the designated Dynamic Area(s),
unless otherwise directed by the officials."
23,D.3.3.2,"Driving a vehicle outside of scheduled events or scheduled practice will result in a 200 point
penalty for the first violation and disqualification for a second violation."
