,rule_num,rule_text
0,EV.1,DEFINITIONS
1,EV.1.1,"Tractive System – TS
Every part electrically connected to the Motor(s) and/or Accumulator(s)"
2,EV.1.2,"Grounded Low Voltage - GLV
Every electrical part that is not part of the Tractive System"
3,EV.1.3,"Accumulator
All the battery cells or super capacitors that store the electrical energy to be used by the
Tractive System"
4,EV.2,DOCUMENTATION
5,EV.2.1,Electrical System Form - ESF
6,EV.2.1.1,"Each team must submit an Electrical System Form (ESF) with a clearly structured
documentation of the entire vehicle electrical system (including control and Tractive System).
Submission and approval of the ESF does not mean that the vehicle will automatically pass
Electrical Technical Inspection with the described items / parts."
7,EV.2.1.2,The ESF may provide guidance or more details than the Formula SAE Rules.
8,EV.2.1.3,Use the format provided and submit the ESF as given in section DR - Document Requirements
9,EV.2.2,"Submission Penalties
Penalties for the ESF are imposed as given in section DR - Document Requirements."
10,EV.3,ELECTRICAL LIMITATIONS
11,EV.3.1,Operation
12,EV.3.1.1,Supplying power to the motor to drive the vehicle in reverse is prohibited
13,EV.3.1.2,Drive by wire control of wheel torque is permitted
14,EV.3.1.3,"Any algorithm or electronic control unit that can adjust the requested wheel torque may only
decrease the total driver requested torque and must not increase it"
15,EV.3.2,Energy Meter
16,EV.3.2.1,"All Electric Vehicles must run with the Energy Meter provided by the organizer
Refer to the FSAEOnline Website AD.2.2 for detail information on the Energy Meter"
17,EV.3.2.2,The Energy Meter must be installed in an easily accessible location
18,EV.3.2.3,All Tractive System power must flow through the Energy Meter
19,EV.3.2.4,"Power and Voltage limits will be checked by the Energy Meter data
Energy is calculated as the time integrated value of the measured voltage multiplied by the
measured current logged by the Energy Meter."
20,EV.3.3,Power and Voltage
21,EV.3.3.1,The maximum power measured by the Energy Meter must not exceed 80 kW
22,EV.3.3.2,"The maximum permitted voltage that may occur between any two points must not exceed
600 V DC"
23,EV.3.3.3,The powertrain must not regenerate energy when vehicle speed is between 0 and 5 km/hr
24,EV.3.4,Violations
25,EV.3.4.1,"A Violation occurs when one or two of these exist:
a. Use of more than the specified maximum power EV.3.3.1
b. Exceed the maximum voltage EV.3.3.2
for one or both conditions:
• Continuously for 100 ms or more
• After a moving average over 500 ms is applied"
26,EV.3.4.2,"Missing Energy Meter data due to the team’s fault, tampering, or attempting to tamper with
the Energy Meter will be treated as a Violation."
27,EV.3.4.3,"Tampering, or attempting to tamper with the Energy Meter or its data may result in
Disqualification (DQ)"
28,EV.3.5,Penalties
29,EV.3.5.1,"Violations during the Acceleration, Skidpad, Autocross Events:
a. Each run with one or more Violations will Disqualify (DQ) the best run of the team
b. Multiple runs with Violations will DQ multiple runs, ex two runs with Violations DQ the
two best runs"
30,EV.3.5.2,"Violations during the Endurance event:
• Each Violation: 60 second penalty D.14.2.1"
31,EV.3.5.3,"Repeated Violations may void Inspection Approval or receive additional penalties up to and
including Disqualification, subject to official discretion."
32,EV.3.5.4,"The respective data of each run in which a team has a Violation and the resulting decision may
be made public."
33,EV.4,COMPONENTS
34,EV.4.1,Motors
35,EV.4.1.1,Only electrical motors are allowed. The number of motors is not limited.
36,EV.4.1.2,Motors must meet T.5.3
37,EV.4.1.3,"If used, Outboard Wheel Motors, where the motor, attendant cables and wiring do not meet
F.11.1.3, must:
a. Include an Interlock EV.7.8
This Interlock(s) must Open the Shutdown Circuit EV.7.2.2 before failure of the Tractive
System wiring when the wiring is damaged or the Wheel/Motor assembly is damaged or
knocked off the vehicle.
b. Reduce the length of the portions of wiring and other connections that do not meet
F.11.1.3 to the extent possible"
38,EV.4.2,"Motor Controller
The Tractive System Motor(s) must be connected to the Accumulator through a Motor
Controller. No direct connections between Motor(s) and Accumulator."
39,EV.4.3,Accumulator Container
40,EV.4.3.1,Accumulator Containers must meet F.10
41,EV.4.3.2,"The Accumulator Container(s) must be removable from the vehicle while still remaining rules
compliant"
42,EV.4.3.3,"The Accumulator Container(s) must be completely closed at all times (when mounted to the
vehicle and when removed from the vehicle) without the need to install extra protective
covers"
