question,answer,image,dimension_type
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule V.1.2 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,V.1.2a.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule V.1.2 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,V.1.2b.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule V.1.2 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,V.1.2c.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule V.4.1 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,V.4.1a.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule V.4.1 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,V.4.1b.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule V.4.1 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,V.4.1c.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule V.1.4.2 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,V.1.4.2a.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule V.1.4.2 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,V.1.4.2b.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule V.1.4.2 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,V.1.4.2c.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.7.5 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.5.7.5a.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.7.5 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,F.5.7.5b.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.7.5 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.5.7.5c.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.7.6 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.5.7.6a.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.7.6 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,F.5.7.6b.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.7.6 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.5.7.6c.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.4 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.5.9.4a.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.4 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,F.5.9.4b.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.4 specified in the FSAE rule document? To answer the question, use the scale bar shown at the top of the engineering drawing to compute necessary dimensions in the drawing.  Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.5.9.4c.jpg,scale
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.5 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",yes,F.5.9.5a.jpg,direct
"We are a student engineering team designing a vehicle for the FSAE competition. Attached is the FSAE rules document. Also attached is an image that shows an engineering drawing of the vehicle on the top accompanied by six CAD views of the vehicle on the bottom. The six CAD views each feature a different orientation of our design, so that 3D information about our design can be inferred. The CAD views are provided to contextualize the engineering drawing, which has the same orientation as one of the six CAD views. All units displayed in the engineering have units of mm. Based on the engineering drawing, does our design comply with rule F.5.9.5 specified in the FSAE rule document? Only use dimensions explicitly shown in the engineering drawing to answer the question. If a dimension is not explicitly shown, you can assume that it complies with the rules. Answer only with a simple 'yes/no' (complies/does not comply with the rule) followed by an explanation (begin it with 'Explanation:') that explains the reasoning behind your answer.",no,F.5.9.5b.jpg,direct
