,rule_num,rule_text
0,F.1,DEFINITIONS
1,F.1.1,"Chassis
The fabricated structural assembly that supports all functional vehicle systems.
This assembly may be a single fabricated structure, multiple fabricated structures or a
combination of composite and welded structures."
2,F.1.2,"Frame Member
A minimum representative single piece of uncut, continuous tubing."
3,F.1.3,"Monocoque
A type of Chassis where loads are supported by the external panels"
4,F.1.4,"Main Hoop
A roll bar located alongside or immediately aft of the driver’s torso."
5,F.1.5,"Front Hoop
A roll bar located above the driver’s legs, in proximity to the steering wheel."
6,F.1.6,"Roll Hoop(s)
Referring to both the Front Hoop AND the Main Hoop"
7,F.1.7,"Roll Hoop Bracing Supports
The structure from the lower end of the Roll Hoop Bracing back to the Roll Hoop(s)."
8,F.1.8,"Front Bulkhead
A planar structure that provides protection for the driver’s feet."
9,F.1.9,"Impact Attenuator
A deformable, energy absorbing device located forward of the Front Bulkhead."
10,F.1.10,"Primary Structure
The combination of the following components:
• Front Bulkhead and Front Bulkhead Support
• Front Hoop, Main Hoop, Roll Hoop Braces and Supports
• Side Impact Structure
• (EV Only) Tractive System Protection and Rear Impact Protection
• Any Frame Members, guides, or supports that transfer load from the Driver Restraint
System"
11,F.1.11,"Primary Structure Envelope
A volume enclosed by multiple tangent planes, each of which follows the exact outline of the
Primary Structure Frame Members"
12,F.1.12,"Major Structure
The portion of the Chassis that lies inside the Primary Structure Envelope, excluding the Main
Hoop Bracing and the portion of the Main Hoop above a horizontal plane located at the top of
the Upper Side Impact Member or top of the Side Impact Zone."
13,F.1.13,"Rollover Protection Envelope
The Primary Structure plus a plane from the top of the Main Hoop to the top of the Front
Hoop, plus a plane from the top of the Main Hoop to the rearmost Triangulated structural
tube, or monocoque equivalent.
* If there are no Triangulated Structural members aft of the Main Hoop, the Rollover
Protection Envelope ends at the rear plane of the Main Hoop
*"
14,F.1.14,"Tire Surface Envelope
The volume enclosed by tangent lines between the Main Hoop and the outside edge of each
of the four tires."
15,F.1.15,"Component Envelope
The area that is inside a plane from the top of the Main Hoop to the top of the Front
Bulkhead, plus a plane from the top of the Main Hoop to the rearmost Triangulated structural
tube, or monocoque equivalent. * see note in step F.1.13 above
*"
16,F.1.16,"Buckling Modulus (EI)
Equal to E*I, where E = modulus of Elasticity, and I = area moment of inertia about the
weakest axis."
17,F.1.17,"Triangulation
An arrangement of Frame Members where all members and segments of members between
bends or nodes with Structural tubes form a structure composed entirely of triangles.
a. This is generally required between an upper member and a lower member, both of
which may have multiple segments requiring a diagonal to form multiple triangles.
b. This is also what is meant by “properly triangulated”.
mm
053
YES NO"
18,F.1.18,"Nonflammable Material
Metal or a Non Metallic material which meets UL94-V0, FAR25 or approved equivalent"
19,F.2,DOCUMENTATION
20,F.2.1,Structural Equivalency Spreadsheet - SES
21,F.2.1.1,"The SES is a supplement to the Formula SAE Rules and may provide guidance or further details
in addition to those of the Formula SAE Rules."
22,F.2.1.2,"The SES provides the means to:
a. Document the Primary Structure and show compliance with the Formula SAE Rules
b. Determine Equivalence to Formula SAE Rules using an accepted basis"
23,F.2.2,Structural Documentation
24,F.2.2.1,"All teams must submit a Structural Equivalency Spreadsheet (SES) as given in section DR -
Document Requirements"
25,F.2.3,Equivalence
26,F.2.3.1,"Equivalency in the structural context is determined and documented with the methods in the
SES"
27,F.2.3.2,"Any Equivalency calculations must prove Equivalency relative to Steel Tubing in the same
application"
28,F.2.3.3,"The properties of tubes and laminates may be combined to prove Equivalence.
For example, in a Side Impact Structure consisting of one tube per F.3.2.1.e and a laminate
panel, the panel only needs to be Equivalent to two Side Impact Tubes."
29,F.2.4,"Tolerance
Tolerance on dimensions given in the rules is allowed and is addressed in the SES."
30,F.2.5,"Fabrication
Vehicles must be fabricated in accordance with the design, materials, and processes described
in the SES."
31,F.3,TUBING AND MATERIAL
32,F.3.1,"Dimensions
Diameter and Wall Thickness values provided in this Section F.3 are based on dimensions for
commonly available tubing."
33,F.3.2,Tubing Requirements
34,F.3.2.1,"Requirements by Application
Steel Tube Must Alternative Tubing
Application Meet Size per Material Permitted"
35,F.3.4:,"per F.3.5 ?
a. Front Bulkhead Size B Yes
b. Front Bulkhead Support Size C Yes
c. Front Hoop Size A Yes
d. Front Hoop Bracing Size B Yes
e. Side Impact Structure Size B Yes
f. Bent / Multi Upper Side Impact Member Size D Yes
g. Main Hoop Size A NO
h. Main Hoop Bracing Size B NO
i. Main Hoop Bracing Supports Size C Yes
j. Driver Restraint Harness Attachment Size B Yes
k. Shoulder Harness Mounting Bar Size A NO
l. Shoulder Harness Mounting Bar Bracing Size C Yes
m. Accumulator Protection Structure Size B Yes
n. Component Protection Size C Yes
o. Structural Tubing Size C Yes"
36,F.3.3,Non Structural Tubing
37,F.3.3.1,"Definition
Any tubing which does NOT meet F.3.2.1.o Structural Tubing"
38,F.3.3.2,"Applicability
Non Structural Tubing is ignored when assessing compliance to any rule"
39,F.3.4,Steel Tubing and Material
40,F.3.4.1,"Minimum Requirements for Steel Tubing
A tube must meet all four minimum requirements for each Size specified:
Minimum Minimum Minimum
Minimum
Area Cross Outside Example Sizes of
Tube Wall
Moment of Sectional Diameter or Round Tube
Thickness
Inertia Area Square Width
1.0” x 0.095”
a. Size A 11320 mm4 173 mm2 25.0 mm 2.0 mm
25 x 2.5 mm
1.0” x 0.065”
b. Size B 8509 mm4 114 mm2 25.0 mm 1.2 mm
25.4 x 1.6 mm
1.0” x 0.049”
c. Size C 6695 mm4 91 mm2 25.0 mm 1.2 mm
25.4 x 1.2 mm
1.375” x 0.049”
d. Size D 18015 mm4 126 mm2 35.0 mm 1.2 mm
35 x 1.2 mm"
41,F.3.4.2,"Properties for ANY steel material for calculations submitted in an SES must be:
a. Non Welded Properties for continuous material calculations:
Young’s Modulus (E) = 200 GPa (29,000 ksi)
Yield Strength (Sy) = 305 MPa (44.2 ksi)
Ultimate Strength (Su) = 365 MPa (52.9 ksi)
b. Welded Properties for discontinuous material such as joint calculations:
Yield Strength (Sy) = 180 MPa (26 ksi)
Ultimate Strength (Su) = 300 MPa (43.5 ksi)"
42,F.3.4.3,"Where Welded tubing reinforcements are required (such as inserts for bolt holes or material
to support suspension cutouts), Equivalence of the Welded tube and reinforcement must be
shown to the original Non Welded tube in the SES"
43,F.3.5,Alternative Tubing Materials
44,F.3.5.1,Alternative Materials may be used for applications shown as permitted in F.3.2.1
45,F.3.5.2,"If any Alternative Materials are used, the SES must contain:
a. Documentation of material type, (purchase receipt, shipping document or letter of
donation) and the material properties.
b. Calculations that show equivalent to or better than the minimum requirements for steel
tubing in the application as listed in F.3.4.1 for yield and ultimate strengths matching the
Non Welded Steel properties from F.3.4.2.a above in bending, buckling and tension, for
buckling modulus and for energy dissipation
c. Details of the manufacturing technique and process"
46,F.3.5.3,"Aluminum Tubing
a. Minimum Wall Thickness for Aluminum Tubing: Non Welded 2.0 mm
Welded 3.0 mm
b. Non Welded properties for aluminum alloy 6061-T6 for calculations in an SES must be:
Young’s Modulus (E) 69 GPa (10,000 ksi)
Yield Strength (Sy) 240 MPa (34.8 ksi)
Ultimate Strength (Su) 290 MPa (42.1 ksi)
c. Welded properties for aluminum alloy 6061-T6 for calculations in an SES must be:
Yield Strength (Sy) 115 MPa (16.7 ksi)
Ultimate Strength (Su) 175 MPa (25.4 ksi)
d. If welding is used on a regulated aluminum structure, the equivalent yield strength must
be considered in the “as welded” condition for the alloy used unless the team provides
detailed proof that the frame or component has been properly solution heat treated,
artificially aged, and not subject to heating during team manufacturing.
e. If aluminum was solution heat treated and age hardened to increase its strength after
welding, the team must supply evidence as to how the process was performed.
This includes, but is not limited to, the heat treating facility used, the process applied,
and the fixturing used."
47,F.4,COMPOSITE AND OTHER MATERIALS
48,F.4.1,"Requirements
If any composite or other material is used, the SES must contain:"
49,F.4.1.1,"Documentation of material type, (purchase receipt, shipping document or letter of donation)
and the material properties."
50,F.4.1.2,"Details of the manufacturing technique and/or composite layup technique as well as the
structural material used (examples - cloth type, weight, and resin type, number of layers, core
material, and skin material if metal)."
51,F.4.1.3,"Calculations that show equivalence of the structure to one of similar geometry made to meet
the minimum requirements for a structure made from steel tubing per F.3.2. Equivalency
calculations must be submitted for energy dissipation, yield and ultimate strengths in bending,
buckling, and tension."
52,F.4.1.4,"Construction dates of the test panel(s) and monocoque, and approximate age(s) of the
materials used.
The intent is for the test panel to use the same material batch, material age, material storage,
and student layup quality as the monocoque."
53,F.4.2,"Quasi-Isotropic Layup
A layup with equal fiber strength and stiffness along any orientation in the plane of the layup.
a. When a layup has equal fiber properties and mass in the 0/90/+45/-45 directions, the
layup may be considered Quasi-Isotropic"
54,F.4.3,Laminate and Material Testing
55,F.4.3.1,"Testing Requirements
a. Any tested samples must be engraved with the construction date, sample name, and
peak test force.
b. The same set of test results must not be used for different monocoques in different
years.
The intent is for the test panel to use the same material batch, material age, material storage,
and student layup quality as the monocoque."
56,F.4.3.2,"Primary Structure Laminate Testing
Teams must build new representative test panels for each ply schedule used in the regulated
regions of the new chassis as a flat panel and perform a 3 point bending test on these panels.
Refer to F.4.3.4
a. Test panels must:
• Measure one of the two options: 138 mm x 500 mm OR 275 mm x 500 mm
• Be supported by a span distance of 400 mm
• Have equal surface area for the top and bottom skin
• Have bare edges, without skin material
b. The SES must include:
• Data from the 3 point bending tests
• Pictures of the test samples
• A picture of the test sample and test setup showing a measurement documenting
the supported span distance used in the SES
c. Test panel results must be used to derive stiffness, yield strength, ultimate strength and
absorbed energy properties by the SES formula and limits for the purpose of calculating
laminate panels equivalency corresponding to Primary Structure regions of the chassis.
d. Test panels must use the thickest core associated with each skin layup.
Designs may use core thickness that is 50% - 100% of the test panel core thickness
associated with each skin layup.
e. Calculation of derived properties must use the part of test data where deflection is 50
mm or less
f. Calculation of absorbed energy must use the integral of force times displacement"
57,F.4.3.3,"Comparison Test
Teams must make an equivalent test that will determine any compliance in the test rig and
establish an absorbed energy value of the baseline tubes.
a. The comparison test must use two Side Impact steel tubes (F.3.2.1.e)
b. The steel tubes must be tested to a minimum displacement of 19.0 mm
c. The calculation of absorbed energy must use the integral of force times displacement
from the initiation of load to a displacement of 19.0 mm"
58,F.4.3.4,"Test Conduct
a. The Laminate test F.4.3.2 and the Comparison test F.4.3.2e must use the same fixture
b. The load applicator used to test any panel/tubes as required in this section F.4.3 must
be:
• Metallic
• Radius 50 mm
c. The load applicator must overhang the test piece to prevent edge loading
d. Any other material must not be placed between the load applicator and the items on test
Load Applicator
R 50 mm
Front View Test Specimen Side View"
59,F.4.3.5,"Perimeter Shear Test
a. The Perimeter Shear Test must be completed by measuring the force required to push or
pull a 25 mm diameter flat punch through a flat laminate sample.
b. The sample must:
• Measure 100 mm x 100 mm minimum
• Have core and skin thicknesses identical to those used in the actual application
• Be manufactured using the same materials and processes
c. The fixture must support the entire sample, except for a 32 mm hole aligned coaxially
with the punch.
d. The sample must not be clamped to the fixture
e. The edge of the punch and hole in the fixture may include an optional fillet up to a
maximum radius of 1 mm.
f. The SES must include force and displacement data and photos of the test setup.
g. The first peak in the load-deflection curve must be used to determine the skin shear
strength; this may be less than the minimum force required by F.7.3.3 / F.7.5.5
h. The maximum force recorded must meet the requirements of F.7.3.3 / F.7.5.5"
