,rule_num,rule_text
0,IC.1,GENERAL REQUIREMENTS
1,IC.1.1,Engine Limitations
2,IC.1.1.1,"The engine(s) used to power the vehicle must:
a. Be a piston engine(s) using a four stroke primary heat cycle
b. Have a total combined displacement less than or equal to 710 cc per cycle."
3,IC.1.1.2,"Hybrid powertrains, such as those using electric motors running off stored energy, are
prohibited."
4,IC.1.1.3,"All waste/rejected heat from the primary heat cycle may be used. The method of conversion is
not limited to the four stroke cycle."
5,IC.1.1.4,The engine may be modified within the restrictions of the rules.
6,IC.1.2,"Air Intake and Fuel System Location
All parts of the engine air system and fuel control, delivery and storage systems (including the
throttle or carburetor, and the complete air intake system, including the air cleaner and any
air boxes) must lie inside the Tire Surface Envelope F.1.14"
7,IC.2,AIR INTAKE SYSTEM
8,IC.2.1,General
9,IC.2.2,Intake System Location
10,IC.2.2.1,The Intake System must meet IC.1.2
11,IC.2.2.2,"Any portion of the air intake system that is less than 350 mm above the ground must be
shielded from side or rear impacts by structure built per F.6.4 / F.7.5 as applicable."
12,IC.2.3,Intake System Mounting
13,IC.2.3.1,"The intake manifold must be securely attached to the engine block or cylinder head with
brackets and mechanical fasteners.
• Hose clamps, plastic ties, or safety wires do not meet this requirement.
• The use of rubber bushings or hose is acceptable for creating and sealing air passages,
but is not a structural attachment."
14,IC.2.3.2,"Threaded fasteners used to secure and/or seal the intake manifold must have a Positive
Locking Mechanism, see T.8.3."
15,IC.2.3.3,"Intake systems with significant mass or cantilever from the cylinder head must be supported
to prevent stress to the intake system.
a. Supports to the engine must be rigid.
b. Supports to the Chassis must incorporate some isolation to allow for engine movement
and chassis flex."
16,IC.2.4,Intake System Restrictor
17,IC.2.4.1,"All airflow to the engine(s) must pass through a single circular restrictor placed in the intake
system."
18,IC.2.4.2,"The only allowed sequence of components are the following:
a. For naturally aspirated engines, the sequence must be: throttle body, restrictor, and
engine.
b. For turbocharged or supercharged engines, the sequence must be: restrictor,
compressor, throttle body, engine.
Pop-Off Valve (optional)
Throttle Engine
Body
Restrictor Compressor
Heat
Exchanger
Recirculation Valve (optional) (optional)"
19,IC.2.4.3,"The maximum restrictor diameters at any time during the competition are:
a. Gasoline fueled vehicles 20.0 mm
b. E85 fueled vehicles 19.0 mm"
20,IC.2.4.4,The restrictor must be located to facilitate measurement during Technical Inspection
21,IC.2.4.5,The circular restricting cross section must NOT be movable or flexible in any way
22,IC.2.4.6,The restrictor must not be part of the movable portion of a barrel throttle body.
23,IC.2.5,Turbochargers & Superchargers
24,IC.2.5.1,"The intake air may be cooled with an intercooler (a charge air cooler).
a. It must be located downstream of the throttle body
b. Only ambient air may be used to remove heat from the intercooler system
c. Air to air and water to air intercoolers are permitted
d. The coolant of a water to air intercooler system must meet T.5.4.1"
25,IC.2.5.2,"If pop-off valves, recirculation valves, or heat exchangers (intercoolers) are used, they must be
positioned in the intake system as shown in IC.2.4.2.b"
26,IC.2.5.3,"Plenums must not be located anywhere upstream of the throttle body
For the purpose of definition, a plenum is any tank or volume that is a significant enlargement
of the normal intake runner system. Teams may submit their designs via a Rules Question for
review prior to competition if the legality of their proposed system is in doubt."
27,IC.2.5.4,"The maximum allowable area of the inner diameter of the intake runner system between the
restrictor and throttle body is 2825 mm2"
28,IC.2.6,"Connections to Intake
Any crankcase or engine lubrication vent lines routed to the intake system must be connected
upstream of the intake system restrictor."
29,IC.3,THROTTLE
30,IC.3.1,General
31,IC.3.1.1,"The vehicle must have a carburetor or throttle body.
a. The carburetor or throttle body may be of any size or design.
b. Boosted applications must not use carburetors."
32,IC.3.2,"Throttle Actuation Method
The throttle may be actuated:
a. Mechanically by a cable or rod system IC.3.3
b. By Electronic Throttle Control IC.4"
33,IC.3.3,Throttle Actuation – Mechanical
