,rule_num,rule_text
0,S.1,"GENERAL STATIC
Presentation 75 points
Cost 100 points
Design 150 points
Total 325 points"
1,S.2,PRESENTATION EVENT
2,S.2.1,"Presentation Event Objective
The Presentation Event evaluates the team’s ability to develop and deliver a comprehensive
business, logistical, production, or technical case that will convince outside interests to invest
in the team’s concept."
3,S.2.2,Presentation Concept
4,S.2.2.1,The concept for the Presentation Event will be provided on the FSAE Online website.
5,S.2.2.2,The concept for the Presentation Event may change for each competition
6,S.2.2.3,The team presentation must meet the concept
7,S.2.2.4,The team presentation must relate specifically to the vehicle as entered in the competition
8,S.2.2.5,"Teams should assume that the judges represent different areas, including engineering,
production, marketing and finance, and may not all be engineers."
9,S.2.2.6,"The presentation may be given in different settings, such as a conference room, a group
meeting, virtually, or in conjunction with other Static Events.
Specific details will be included in the Presentation Concept or communicated separately."
10,S.2.3,"Presentation Schedule
Teams that fail to make their presentation during their assigned time period will receive zero
points for the Presentation Event."
11,S.2.4,Presentation Submissions
12,S.2.4.1,"The Presentation Concept may require information to be submitted prior to the event.
Specific details will be included in the Presentation Concept."
13,S.2.4.2,Submissions may be graded as part of the Presentation Event score.
14,S.2.4.3,"Pre event submissions will be subject to penalties imposed as given in section DR - Document
Requirements."
15,S.2.5,Presentation Format
16,S.2.5.1,One or more team members will give the presentation to the judges.
17,S.2.5.2,"All team members who will give any part of the presentation, or who will respond to judges’
questions must be:
• In the presentation area when the presentation starts
• Introduced and identified to the judges."
18,S.2.5.3,"Presentations will be time limited. The judges will stop any presentation exceeding the time
limit."
19,S.2.5.4,"The presentation itself will not be interrupted by questions. Immediately following the
presentation there may be a question and answer session."
20,S.2.5.5,Only judges may ask questions. Only team members who meet S.2.5.2 may answer questions.
21,S.2.6,"Presentation Equipment
Teams planning to use data projectors, visual display devices (tablets, computers, etc.), or
other communication means as part of their presentation must bring, or arrange for, their
own equipment."
22,S.2.7,Evaluation Criteria
23,S.2.7.1,"Presentations will be evaluated on content, organization, visual aids, delivery and the team’s
response to the judges’ questions."
24,S.2.7.2,"The actual quality of the prototype itself will not be considered as part of the presentation
judging"
25,S.2.7.3,Presentation Judging Score Sheet – available at the FSAE Online website.
26,S.2.8,"Judging Sequence
Presentation judging may be conducted in one or more phases."
27,S.2.9,Presentation Event Scoring
28,S.2.9.1,The Presentation raw score is based on the average of the scores of each judge.
29,S.2.9.2,"Presentation Event scores may range from 0 to 75 points, using a method at the discretion of
the judges"
30,S.2.9.3,"Presentation Event scoring may include normalizing the scores of different judging teams and
scaling the overall results."
31,S.3,COST AND MANUFACTURING EVENT
32,S.3.1,"Cost Event Objective
The Cost and Manufacturing Event evaluates the ability of the team to consider budget and
incorporate production considerations for production and efficiency.
Making tradeoff decisions between content and cost based on the performance of each part
and assembly and accounting for each part and process to meet a budget is part of Project
Management."
33,S.3.2,"Cost Event Supplement
a. Additional specific information on the Cost and Manufacturing Event, including
explanation and requirements, is provided in the Formula SAE Cost Event Supplement
document.
b. Use the Formula SAE Cost Event Supplement to properly complete the requirements of
the Cost and Manufacturing Event.
c. The Formula SAE Cost Event Supplement is available on the FSAE Online website"
34,S.3.3,Cost Event Areas
35,S.3.3.1,"Cost Report
Preparation and submission of a report (the “Cost Report”)"
36,S.3.3.2,"Event Day Discussion
Discussion at the Competition with the Cost Judges around the team’s vehicle."
37,S.3.3.3,"Cost Scenario
Teams will respond to a challenge related to cost or manufacturing of the vehicle."
38,S.3.4,Cost Report
39,S.3.4.1,"The Cost Report must:
a. List and cost every part on the vehicle using the standardized Cost Tables.
b. Base the cost on the actual manufacturing technique used on the prototype.
Cast parts on the prototype must be cost as cast, and fabricated parts as fabricated, etc.
c. Include Tooling Cost (welding jigs, molds, patterns and dies) for processes requiring it.
d. Exclude R & D and capital expenditures (plant, machinery, hand tools and power tools).
e. Include supporting documentation to allow officials to verify part costing"
40,S.3.4.2,"Generate and submit the Cost Report using the FSAE Online website, see DR - Document
Requirements"
41,S.3.5,Bill of Materials - BOM
42,S.3.5.1,"The BOM is a list for every vehicle part, showing the relationships between the items.
a. The overall vehicle is broken down into separate Systems
b. Systems are made up of Assemblies
c. Assemblies are made up of Parts
d. Parts consist of Materials, Processes and Fasteners
e. Tooling is associated with each Process that requires production tooling"
43,S.3.6,"Late Submission
Penalties for Late Submission of Cost Report will be imposed as given in section DR -
Document Requirements."
44,S.3.7,Cost Addendum
45,S.3.7.1,"A supplement to the Cost Report that reflects any changes or corrections made after the
submission of the Cost Report may be submitted."
46,S.3.7.2,The Cost Addendum must be submitted during Onsite Registration at the Event.
47,S.3.7.3,The Cost Addendum must follow the format as given in section DR - Document Requirements
48,S.3.7.4,Addenda apply only to the competition at which they are submitted.
