,rule_num,rule_text
0,VE.1,VEHICLE IDENTIFICATION
1,VE.1.1,Vehicle Number
2,VE.1.1.1,"The assigned vehicle number must appear on the vehicle as follows:
a. Locations: in three places, on the front of the chassis and both sides
b. Height: 150 mm minimum
c. Font: Block numbers (sans serif characters without italic, outline, shadow, or cursive
numbers)
d. Stroke Width and Spacing between numbers: 18 mm minimum
e. Color: White numbers on a black background OR black numbers on a white background
f. Background: round, oval, square or rectangular
g. Spacing: 25 mm minimum between the edge of the numbers and the edge of the
background
h. The numbers must not be obscured by parts of the vehicle"
3,VE.1.1.2,Additional letters or numerals must not show before or after the vehicle number
4,VE.1.2,"School Name
Each vehicle must clearly display the school name.
a. Abbreviations are allowed if unique and generally recognized
b. The name must be in Roman characters minimum 50 mm high on both sides of the
vehicle.
c. The characters must be placed on a high contrast background in an easily visible location.
d. The school name may also appear in non Roman characters, but the Roman character
version must be uppermost on the sides."
5,VE.1.3,"SAE Logo
The SAE International Logo must be displayed on the front and/or both sides of the vehicle in
a prominent location."
6,VE.1.4,"Inspection Sticker
The vehicle must have space for the Inspection Sticker(s) IN.13.2 that is:
• A clear and unobstructed area, minimum 25 cm wide x 20 cm high
• Located on the upper front surface of the nose along the vehicle centerline"
7,VE.1.5,Transponder / RFID Tag
8,VE.1.5.1,"Each vehicle must have a functional, properly mounted transponder and/or RFID tag of the
specified type(s)"
9,VE.1.5.2,"Refer to the Rules FAQ on the FSAE Online website for transponder and RFID tag information
and mounting details"
10,VE.2,VEHICLE EQUIPMENT
11,VE.2.1,Jacking Point
12,VE.2.1.1,A Jacking Point must be provided at the rear of the vehicle
