image_name,rule_tested,complies,dimension_system,view,cad_model,context_im,context_im_detailed,additional_info,additional_info_context,explanation
V.1.2_yes,V.1.2,yes,direct,left,vehicle,1,15,,"In the CAD views, the wheels are highlighted in pink.",The image shows the dimension of the cars wheelbase and it is clearly greater than the rules minimum wheelbase.
V.1.2_no,V.1.2,no,direct,left,vehicle,1,15,,"In the CAD views, the wheels are highlighted in pink.",The image shows the dimension of the cars wheelbase and it is clearly less than the rules minimum wheelbase.
zoom_front_view,V.1.2,yes,scale,left,vehicle,1,15,,"In the CAD views, the wheels are highlighted in pink.",
V.4.1_yes,V.4.1,yes,direct,left,vehicle,1,15,,"In the CAD views, the wheels are highlighted in pink.",The image shows the radius of wheels which (multiplied by 2) is greater than rules minimum wheel diameter.
V.4.1_no,V.4.1,no,direct,left,vehicle,1,15,,"In the CAD views, the wheels are highlighted in pink.",The image shows radius of wheels which (multiplied by 2) is less than rules minimum wheel diameter. 
zoom_front_view,V.4.1,yes,scale,left,vehicle,1,15,,"In the CAD views, the wheels are highlighted in pink.",
V.1.4.2_yes,V.1.4.2,yes,direct,left,vehicle,1,1,,"In the CAD views, the lower side impact structure is highlighted in pink.",The radius of tire minus distance from lower side impact structure to center of wheel is the ground clearance/ride height. This value is less than the rules required maximum. 
V.1.4.2_no,V.1.4.2,no,direct,left,vehicle,1,1,,"In the CAD views, the lower side impact structure is highlighted in pink.",The radius of tire minus distance from lower side impact structure to center of wheel is the ground clearance/ride height. This value is greater than the rules required maximum. 
zoom_front_view,V.1.4.2,yes,scale,left,vehicle,1,1,,"In the CAD views, the lower side impact structure is highlighted in pink.",
F.5.7.5_yes,F.5.7.5,yes,direct,left,vehicle,1,2,,"In the CAD views, the front hoop is highlighted in pink.",The distance from the front most face of the steering wheel to rear most face of front hoop is greater than the rules required minimum.
F.5.7.5_no,F.5.7.5,no,direct,left,vehicle,1,2,,"In the CAD views, the front hoop is highlighted in pink.",The distance from the front most face of the steering wheel to rear most face of front hoop is less than the rules required minimum.
zoom_front_view,F.5.7.5,yes,scale,left,vehicle,1,2,,"In the CAD views, the front hoop is highlighted in pink.",
F.5.7.6_yes,F.5.7.6,yes,direct,left,vehicle,1,3,,"In the CAD views, the front hoop is highlighted in pink and the upper side impact structure is highlighted in blue.",The angle of the front hoop is less than the rules required maximum.
F.5.7.6_no,F.5.7.6,no,direct,left,vehicle,1,3,,"In the CAD views, the front hoop is highlighted in pink and the upper side impact structure is highlighted in blue.",The angle of the front hoop is greater than the rules required maximum.
zoom_front_view,F.5.7.6,yes,scale,left,vehicle,1,3,,"In the CAD views, the front hoop is highlighted in pink and the upper side impact structure is highlighted in blue.",
F.5.9.4_yes,F.5.9.4,yes,direct,left,vehicle,1,4,,"In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue.","According to rule F.5.9.4, the main hoop braces must be attached 160 mm or less below the top most surface of the main hoop. The image shows that the main hoop braces is attached 122.54 + 12.7 = 135.24 mm below the top surface of the main hoop. Therefore, this design complies with the rule."
F.5.9.4_no,F.5.9.4,no,direct,left,vehicle,1,4,,"In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue.","According to rule F.5.9.4, the main hoop braces must be attached 160 mm or less below the top most surface of the main hoop. The image shows that the main hoop braces is attached 161.06 + 12.7 = 173.76 mm below the top surface of the main hoop. Therefore, this design violates the rule."
zoom_front_view,F.5.9.4,yes,scale,left,vehicle,1,4,,"In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue.",
F.5.9.5_yes,F.5.9.5,yes,direct,left,vehicle,1,4,,"In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue.","F.5.9 says: The included angle formed by the Main Hoop and the Main Hoop Braces must be 30° or more, and this image shows an angle of 37 degrees."
F.5.9.5_no,F.5.9.5,no,direct,left,vehicle,1,4,,"In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue.","F.5.9 says: The included angle formed by the Main Hoop and the Main Hoop Braces must be 30° or more, and this image shows an angle of 28.76 degrees."
zoom_front_view,F.5.9.5,yes,scale,left,vehicle,1,4,,"In the CAD views, the main hoop is highlighted in pink and the main hoop braces are highlighted in blue.",
F.6.3.4_no,F.6.3.4,no,direct,left,vehicle,1,5,,"In the CAD views, the front hoop is highlighted in pink and the front hoop braces are highlighted in blue.",F.6.3.4 says the front hoop braces can't be more than 50mm from the top of the front hoop. The drawing shows the front hoop braces 55mm from the top of the front hoop.
F.6.3.4_yes,F.6.3.4,yes,direct,left,vehicle,1,5,,"In the CAD views, the front hoop is highlighted in pink and the front hoop braces are highlighted in blue.",F.6.3.4 says the front hoop braces can't be more than 50mm from the top of the front hoop. The drawing shows the front hoop braces 28.8mm from the top of the front hoop.
zoom_front_view,F.6.3.4,yes,scale,left,vehicle,1,5,,"In the CAD views, the front hoop is highlighted in pink and the front hoop braces are highlighted in blue.",
F.3.2.1_a_yes,F.3.2.1g (which references F.3.4.1),yes,direct,left,vehicle,1,6,The main hoop is made of a steel tube.,"In the CAD views, the main hoop is highlighted in pink.",F.3.2.1g says the main hoop must meet size A requirements - 25mm outer diameter. The drawing shows the required 25mm outer diameter.
F.3.2.1_a_no,F.3.2.1g (which references F.3.4.1),no,direct,left,vehicle,1,6,The main hoop is made of a steel tube.,"In the CAD views, the main hoop is highlighted in pink.",F.3.2.1g says the main hoop must meet size A requirements - 25mm outer diameter. The drawing shows the outer diameter of the main hoop is only 24.3mm
zoom_front_view,F.3.2.1a,yes,scale,left,vehicle,1,6,,"In the CAD views, the main hoop is highlighted in pink.",
F.6.4.4_yes,F.6.4.4b,yes,direct,left,vehicle,1,7,,"In the CAD views, the upper side impact member is highlighted in pink and the lower side impact member is highlighted in blue.",F.6.4.4b says the upper side impact member has to be more than 240mm above and less than 320mm above the low side impact member. The drawing shows the upper side impact member between 277.15mm and 309.74mm above the low side impact member.
F.6.4.4_no,F.6.4.4b,no,direct,left,vehicle,1,7,,"In the CAD views, the upper side impact member is highlighted in pink and the lower side impact member is highlighted in blue.",F.6.4.4b says the upper side impact member has to be more than 240mm above and less than 320mm above the low side impact member. The drawing shows the lowest point of the upper side impact member is only 231.56mm above the low side impact member.
zoom_front_view,F.6.4.4b,yes,scale,left,vehicle,1,7,,"In the CAD views, the upper side impact member is highlighted in pink and the lower side impact member is highlighted in blue.",
F.3.2.1_h_yes,F.3.2.1h (which references F.3.4.1),yes,direct,left,vehicle,1,8,The main hoop bracing is made of steel tubes.,"In the CAD views, the main hoop braces are highlighted in pink.",F.3.2.1.h says the main hoop bracing must be a size B tube - 25mm minimum diameter. The drawing shows the main hoop bracing has a diameter of 25.4mm.
F.3.2.1_h_no,F.3.2.1h (which references F.3.4.1),no,direct,left,vehicle,1,8,The main hoop bracing is made of steel tubes.,"In the CAD views, the main hoop braces are highlighted in pink.",F.3.2.1.h says the main hoop bracing must be a size B tube - 25mm minimum diameter. The drawing shows the main hoop bracing has a diameter of only 23.43mm.
zoom_front_view,F.3.2.1h,yes,scale,left,vehicle,1,8,,"In the CAD views, the main hoop braces are highlighted in pink.",
T.5.2.7_a_yes,T.5.2.7a,yes,direct,left,powertrain,2,9,The scattershield is made from steel.,"In the CAD views, the scattershield is highlighted in pink.",T.5.2.7.a says the chain drive scatter shief must be at least 2.66mm thick steel. The drawing shows a thickness of 3.18mm and the question confirms the material is steel.
T.5.2.7_a_no,T.5.2.7a,no,direct,left,powertrain,2,9,The scattershield is made from steel.,"In the CAD views, the scattershield is highlighted in pink.",T.5.2.7.a says the chain drive scatter shief must be at least 2.66mm thick steel. The drawing shows a thickness of only 2.56mm.
powertrain_leftview_scale,T.5.2.7a,yes,scale,left,powertrain,2,9,The scattershield is made from steel.,"In the CAD views, the scattershield is highlighted in pink.",
T.5.2.7_c_yes,T.5.2.7c,yes,direct,bottom,powertrain,2,10,The scattershield is made from steel and assume the chain (not pictured) is centered on the gears.,"In the CAD views, the scattershield is highlighted in pink and the gears are shown in blue.",The drawing shows dimensions for the total width of the scatter shield and for the edge to the center of the sprocket. Since the dimension to the center of the sprocket is half of the dimension of the width of the scatter shield this is correct and rules compliant.
T.5.2.7_c_no,T.5.2.7c,no,direct,bottom,powertrain,2,10,The scattershield is made from steel and assume the chain (not pictured) is centered on the gears.,"In the CAD views, the scattershield is highlighted in pink and the gears are shown in blue.",The drawing shows dimensions for the total width of the scatter shield and for the edge to the center of the sprocket. Since the dimension to the center of the sprocket is not half of the dimension of the width of the scatter shield this is not correct and not rules compliant.
powertrain_bottom_scale,T.5.2.7c,yes,scale,bottom,powertrain,2,10,The scattershield is made from steel and assume the chain (not pictured) is centered on the gears.,"In the CAD views, the scattershield is highlighted in pink and the gears are shown in blue.",
T.5.2.7_b_yes,T.5.2.7b,yes,direct,bottom,powertrain,2,9,The scattershield is made from steel and the chain (not pictured) is 13 mm wide.,"In the CAD views, the scattershield is highlighted in pink.",The design is compliant. We are told the chain is 13 mm wide and the scatter shield must be at least 3x as wide. The drawing shows the dimension of the width of the scatter shield is 44.3 mm.
